,metername,date,gallons
0,b'Bldg. T (Cooling)',2020-03-29,32842.399999999994
1,b'Bldg. T (Cooling)',2020-04-05,44470.1
2,b'Bldg. T (Cooling)',2020-04-12,39840.600000000006
3,b'Bldg. T (Cooling)',2020-04-19,33768.5
4,b'Bldg. T (Cooling)',2020-04-26,35640.4
5,b'Bldg. T (Cooling)',2020-05-03,31490.4
6,b'Bldg. T (Cooling)',2020-05-10,30595.6
7,b'Bldg. T (Cooling)',2020-05-17,31582.600000000002
8,b'Bldg. T (Cooling)',2020-05-24,34025.8
9,b'Bldg. T (Cooling)',2020-05-31,37762.899999999994
10,b'Bldg. T (Cooling)',2020-06-07,25750.5
11,b'Bldg. T (Cooling)',2020-06-14,13956.300000000001
12,b'Bldg. T (Cooling)',2020-06-21,27897.199999999997
13,b'Bldg. T (Cooling)',2020-06-28,14229.0
14,b'Bldg. T (Cooling)',2020-07-05,14313.0
15,b'Bldg. T (Cooling)',2020-07-12,11880.0
16,b'Bldg. T (Cooling)',2020-07-19,10593.8
17,b'Bldg. T (Cooling)',2020-07-26,10714.3
18,b'Bldg. T (Cooling)',2020-08-02,9228.5
19,b'Bldg. T (Cooling)',2020-08-09,10210.8
20,b'Bldg. T (Cooling)',2020-08-16,5730.0
21,b'Bldg. T (Cooling)',2020-08-23,8995.099999999999
22,b'Bldg. T (Cooling)',2020-08-30,6220.0
23,b'Bldg. T (Cooling)',2020-09-06,9050.4
24,b'Bldg. T (Cooling)',2020-09-13,4949.0
25,b'Bldg. T (Cooling)',2020-09-20,5430.0
26,b'Bldg. T (Cooling)',2020-09-27,5036.2
27,b'Bldg. T (Cooling)',2020-10-04,6660.0
28,b'Bldg. T (Cooling)',2020-10-11,4727.0
29,b'Bldg. T (Cooling)',2020-10-18,5840.0
30,b'Bldg. T (Cooling)',2020-10-25,7020.0
31,b'Bldg. T (Cooling)',2020-11-01,4900.0
32,b'Bldg. T (Cooling)',2020-11-08,6664.5
33,b'Bldg. T (Cooling)',2020-11-15,7867.5
34,b'Bldg. T (Cooling)',2020-11-22,5686.9
35,b'Bldg. T (Cooling)',2020-11-29,10628.1
36,b'Bldg. T (Cooling)',2020-12-06,6938.9
37,b'Bldg. T (Cooling)',2020-12-13,7836.200000000001
38,b'Bldg. T (Cooling)',2020-12-20,13250.1
39,b'Bldg. T (Cooling)',2020-12-27,15971.1
40,b'Bldg. T (Cooling)',2021-01-03,13659.400000000001
41,b'Bldg. T (Cooling)',2021-01-10,16208.3
42,b'Bldg. T (Cooling)',2021-01-17,18210.0
43,b'Bldg. T (Cooling)',2021-01-24,29280.0
44,b'Bldg. T (Cooling)',2021-01-31,33619.6
45,b'Bldg. T (Cooling)',2021-02-07,28685.3
46,b'Bldg. T (Cooling)',2021-02-14,32054.7
47,b'Bldg. T (Cooling)',2021-02-21,36308.0
48,b'Bldg. T (Cooling)',2021-02-28,40453.9
49,b'Bldg. T (Cooling)',2021-03-07,50540.0
50,b'Bldg. T (Cooling)',2021-03-14,42986.1
51,b'Bldg. T (Cooling)',2021-03-21,45028.0
52,b'Bldg. T (Cooling)',2021-03-28,45585.1
53,b'Bldg. T (Cooling)',2021-04-04,43970.0
54,b'Bldg. T (Cooling)',2021-04-11,38110.0
55,b'Bldg. T (Cooling)',2021-04-18,35812.5
56,b'Bldg. T (Cooling)',2021-04-25,34360.0
57,b'Bldg. T (Cooling)',2021-05-02,33020.0
58,b'Bldg. T (Cooling)',2021-05-09,44710.0
59,b'Bldg. T (Cooling)',2021-05-16,35227.3
60,b'Bldg. T (Cooling)',2021-05-23,48730.0
61,b'Bldg. T (Cooling)',2021-05-30,32100.0
62,b'Bldg. T (Cooling)',2021-06-06,28230.0
63,b'Bldg. T (Cooling)',2021-06-13,18260.0
64,b'Bldg. T (Cooling)',2021-06-20,21700.0
65,b'Bldg. T (Cooling)',2021-06-27,25436.4
66,b'Bldg. T (Cooling)',2021-07-04,16343.6
67,b'Bldg. T (Cooling)',2021-07-11,12780.0
68,b'Bldg. T (Cooling)',2021-07-18,19720.0
69,b'Bldg. T (Cooling)',2021-07-25,9730.0
70,b'Bldg. T (Cooling)',2021-08-01,8970.0
71,b'Bldg. T (Cooling)',2021-08-08,7080.0
72,b'Bldg. T (Cooling)',2021-08-15,6540.0
73,b'Bldg. T (Cooling)',2021-08-22,7140.0
74,b'Bldg. T (Cooling)',2021-08-29,5370.0
75,b'Bldg. T (Cooling)',2021-09-05,8850.0
76,b'Bldg. T (Cooling)',2021-09-12,4580.0
77,b'Bldg. T (Cooling)',2021-09-19,5320.0
78,b'Bldg. T (Cooling)',2021-09-26,4570.0
79,b'Bldg. T (Cooling)',2021-10-03,4440.0
80,b'Bldg. T (Cooling)',2021-10-10,6590.0
81,b'Bldg. T (Cooling)',2021-10-17,5069.0
82,b'Bldg. T (Cooling)',2021-10-24,6381.0
83,b'Bldg. T (Cooling)',2021-10-31,6736.199999999999
84,b'Bldg. T (Cooling)',2021-11-07,3093.8
85,b'Bldg. T (Cooling)',2021-11-14,3740.0
86,b'Bldg. T (Cooling)',2021-11-21,6230.0
87,b'Bldg. T (Cooling)',2021-11-28,10260.0
88,b'Bldg. T (Cooling)',2021-12-05,10510.0
89,b'Bldg. T (Cooling)',2021-12-12,9750.0
90,b'Bldg. T (Cooling)',2021-12-19,11047.4
91,b'Bldg. T (Cooling)',2021-12-26,22942.6
92,b'Bldg. T (Cooling)',2022-01-02,19960.0
